DISBURSED_AMOUNT,LTV,PERFORM_CNS_SCORE,NO_OF_INQUIRIES,CREDIT_SCORE,RISK_TIER,UNDERWRITING_ACTION
40394.0,72.28,686.0,1.0,606,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
48743.0,84.35,0.0,0.0,597,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
54759.0,81.13,825.0,0.0,609,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
49349.0,75.6,762.0,0.0,607,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
58109.0,81.0,674.0,0.0,605,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
69123.0,74.34,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48349.0,60.26,0.0,0.0,605,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
55259.0,78.0,585.0,1.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
34939.0,84.54,543.0,0.0,609,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
55659.0,73.23,698.0,1.0,608,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
69817.0,69.95,0.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
59013.0,89.39,0.0,0.0,585,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
49503.0,70.43,738.0,0.0,615,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
45748.0,81.94,0.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
46165.0,61.92,0.0,0.0,611,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
30484.0,45.8,0.0,0.0,619,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
59197.0,80.68,300.0,0.0,591,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
49303.0,74.26,763.0,1.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
54613.0,76.15,0.0,0.0,600,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
56259.0,77.01,693.0,0.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
69957.0,73.48,0.0,0.0,597,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
98899.0,57.35,0.0,0.0,592,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52578.0,89.51,0.0,0.0,587,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
59259.0,89.16,0.0,0.0,591,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
26529.0,57.45,0.0,0.0,613,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
57232.0,85.0,0.0,0.0,588,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
67582.0,62.32,0.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52203.0,88.93,0.0,0.0,587,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
49300.0,69.74,733.0,0.0,610,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
53513.0,79.59,0.0,0.0,592,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
60347.0,88.0,738.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
49603.0,80.83,0.0,1.0,589,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
45349.0,30.66,763.0,0.0,635,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
20201.0,27.56,17.0,0.0,627,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
58913.0,89.9,743.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
47145.0,79.72,0.0,0.0,600,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
58247.0,69.42,0.0,0.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
48349.0,73.13,0.0,0.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
24701.0,56.47,726.0,0.0,631,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
38439.0,62.29,707.0,0.0,622,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
60315.0,84.99,0.0,0.0,587,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
46869.0,74.62,317.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
43210.0,48.28,0.0,0.0,614,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
58083.0,83.48,300.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
49103.0,77.37,0.0,0.0,601,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
58259.0,84.51,763.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
63713.0,78.81,0.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
60947.0,89.93,527.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
23274.0,37.56,0.0,0.0,626,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
44010.0,61.54,497.0,1.0,613,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
55240.0,86.4,618.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
63182.0,65.08,0.0,0.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
54313.0,89.37,17.0,0.0,586,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
68877.0,69.47,0.0,0.0,594,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
42322.0,50.16,0.0,0.0,619,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
91155.0,79.83,0.0,0.0,581,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
57259.0,74.26,0.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48743.0,80.64,0.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
56259.0,74.88,0.0,0.0,600,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
54359.0,82.71,0.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
47849.0,80.97,0.0,2.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48849.0,78.81,836.0,0.0,607,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
40394.0,66.52,0.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
40710.0,72.77,0.0,0.0,600,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
33884.0,49.58,0.0,0.0,621,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
47400.0,83.7,0.0,0.0,592,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
45749.0,74.92,0.0,0.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
51813.0,77.36,18.0,0.0,589,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
32984.0,74.74,0.0,0.0,601,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
41394.0,65.35,0.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
60947.0,89.71,0.0,0.0,584,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
61947.0,78.67,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
43919.0,38.12,440.0,0.0,624,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
43394.0,68.91,0.0,0.0,602,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
53804.0,79.0,0.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
53303.0,56.04,818.0,0.0,619,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
58013.0,85.87,749.0,2.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
63947.0,88.99,0.0,0.0,589,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
56159.0,87.42,700.0,0.0,600,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
58947.0,74.62,588.0,1.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
66882.0,82.83,825.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48349.0,69.42,0.0,0.0,605,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
41394.0,81.77,0.0,1.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
57013.0,76.93,532.0,0.0,607,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
53303.0,78.27,0.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
36939.0,65.21,698.0,0.0,616,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
51003.0,74.71,738.0,0.0,607,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
62982.0,81.98,17.0,2.0,574,Tier 4 (Deep Subprime - High Risk),AUTO-DECLINE (Exceeds Risk Tolerance)
54259.0,77.12,300.0,1.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
43894.0,77.99,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
54959.0,72.82,721.0,0.0,612,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
53003.0,83.08,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
61197.0,83.44,0.0,1.0,584,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
34319.0,58.95,574.0,0.0,646,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
61947.0,79.04,0.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
45183.0,56.14,0.0,0.0,614,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
44394.0,76.29,16.0,0.0,592,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
37664.0,79.81,380.0,0.0,605,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
49978.0,77.16,0.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
43495.0,71.94,0.0,0.0,605,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
57974.0,83.31,0.0,0.0,594,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
60187.0,74.73,738.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
56505.0,61.58,670.0,0.0,611,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
52303.0,76.32,380.0,0.0,597,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
51803.0,79.96,0.0,0.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52378.0,80.0,300.0,0.0,594,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
64704.0,84.89,0.0,0.0,586,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52803.0,73.87,0.0,0.0,602,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
50943.0,82.91,763.0,1.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
47265.0,74.74,0.0,0.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
41122.0,70.1,608.0,0.0,609,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
49303.0,81.69,749.0,0.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
74751.0,73.11,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
54530.0,83.59,0.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
60947.0,59.04,0.0,0.0,602,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
51303.0,74.38,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
56759.0,88.64,0.0,0.0,586,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
46549.0,79.28,737.0,0.0,606,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
56333.0,55.5,0.0,0.0,606,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
53303.0,62.57,300.0,0.0,609,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
61713.0,89.81,0.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52262.0,85.0,681.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
40860.0,70.33,17.0,0.0,602,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
48783.0,67.28,17.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
53303.0,65.86,0.0,0.0,606,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
69817.0,74.61,676.0,0.0,606,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
45749.0,75.81,300.0,0.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
47349.0,84.78,763.0,1.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
68817.0,74.77,18.0,0.0,585,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
38739.0,61.78,17.0,1.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
79186.0,82.23,0.0,0.0,589,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
56013.0,82.81,15.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48803.0,71.79,0.0,3.0,591,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
60847.0,89.91,0.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
41394.0,59.45,0.0,0.0,608,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
65309.0,86.49,15.0,0.0,579,Tier 4 (Deep Subprime - High Risk),AUTO-DECLINE (Exceeds Risk Tolerance)
66882.0,84.94,702.0,0.0,601,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
71123.0,74.88,749.0,0.0,601,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
40474.0,79.99,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
63313.0,66.65,0.0,0.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
46145.0,84.75,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
53078.0,81.77,366.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
54959.0,80.67,783.0,0.0,615,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
59447.0,66.55,488.0,0.0,611,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
69317.0,70.85,0.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48352.0,62.92,0.0,0.0,609,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
52653.0,88.61,15.0,1.0,578,Tier 4 (Deep Subprime - High Risk),AUTO-DECLINE (Exceeds Risk Tolerance)
38574.0,75.75,761.0,0.0,616,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
47645.0,73.94,0.0,0.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
61947.0,88.61,0.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
44600.0,79.58,0.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
61394.0,71.37,599.0,0.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
55189.0,88.92,780.0,0.0,602,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
49778.0,74.67,615.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
43394.0,74.77,586.0,1.0,607,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
68817.0,74.6,729.0,0.0,607,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
53303.0,78.34,680.0,0.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
58194.0,85.0,0.0,0.0,588,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48049.0,73.19,591.0,0.0,612,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
50878.0,74.44,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52478.0,84.72,0.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
39901.0,69.59,0.0,0.0,608,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
41894.0,62.1,0.0,0.0,606,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
60113.0,78.48,0.0,0.0,591,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52578.0,69.24,15.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
63782.0,87.9,443.0,0.0,589,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
57259.0,84.23,0.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
47849.0,74.38,0.0,0.0,597,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
44849.0,74.43,592.0,1.0,603,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
53703.0,68.2,721.0,0.0,609,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
69500.0,79.98,671.0,0.0,602,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
41394.0,72.41,836.0,0.0,613,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
58013.0,83.52,763.0,0.0,605,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
51503.0,82.74,0.0,0.0,597,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
53303.0,74.56,0.0,0.0,601,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
52203.0,88.09,763.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
48049.0,69.01,0.0,0.0,606,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
65169.0,73.79,300.0,3.0,586,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
67882.0,61.8,0.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
50600.0,84.56,792.0,0.0,609,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
56113.0,82.6,0.0,0.0,594,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
49878.0,66.77,0.0,0.0,601,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
39042.0,40.22,0.0,0.0,625,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
42894.0,73.93,0.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
45699.0,79.86,17.0,1.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
28529.0,42.7,0.0,0.0,622,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
54759.0,82.47,0.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52078.0,89.98,708.0,2.0,594,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
56459.0,87.09,0.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
54412.0,84.99,0.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
34484.0,58.65,0.0,0.0,616,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
53803.0,74.94,0.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
41362.0,75.04,0.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52097.0,82.0,0.0,0.0,591,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
69651.0,70.03,0.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48000.0,74.51,300.0,0.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48803.0,76.78,0.0,0.0,596,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
64882.0,72.82,613.0,1.0,597,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
97990.0,67.08,0.0,0.0,587,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
38482.0,60.89,0.0,0.0,608,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
52703.0,79.76,0.0,0.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
34484.0,70.92,708.0,0.0,617,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
46057.0,67.55,712.0,2.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
43300.0,50.03,673.0,0.0,622,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
43869.0,73.59,0.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
57913.0,81.81,0.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
51878.0,88.01,738.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
73123.0,81.01,300.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
52678.0,78.39,0.0,0.0,599,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
64882.0,86.56,708.0,0.0,600,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
63907.0,85.0,0.0,0.0,586,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
59259.0,79.59,18.0,0.0,590,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
42894.0,74.36,0.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
55046.0,79.99,0.0,0.0,592,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
48349.0,74.4,0.0,0.0,597,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
44349.0,55.09,461.0,0.0,615,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
45349.0,73.78,0.0,0.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
61947.0,86.31,0.0,0.0,592,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
54177.0,79.77,0.0,0.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
59013.0,88.57,680.0,0.0,600,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
46665.0,83.07,357.0,0.0,598,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
